,school.id,school.name,school.region,school.region.name,school.province,school.cityhall,school.division,school.citymuni,school.district,school.legdistrict,school.type,school.abbrev,school.previousname,school.mother.id,school.address,school.established,school.classification,school.classification2,school.curricularclass,school.organization,school.cityincome,school.cityclass,school.urban,School ID_x,Kinder Male,Kinder Female,Grade 1 Male,Grade 1 Female,Grade 2 Male,Grade 2 Female,Grade 3 Male,Grade 3 Female,Grade 4 Male,Grade 4 Female,Grade 5 Male,Grade 5 Female,Grade 6 Male,Grade 6 Female,SPED NG Male,SPED NG Female,Grade 7 Male,Grade 7 Female,Grade 8 Male,Grade 8 Female,Grade 9 Male,Grade 9 Female,Grade 10 Male,Grade 10 Female,Grade 11 Male,Grade 11 Female,Grade 12 Male,Grade 12 Female, school.mooe ,School ID_y,rooms.standard.academic,rooms.standard.unused,rooms.nonstandard.academic,rooms.nonstandard.unused,teachers.instructor,teachers.mobile,teachers.regular,teachers.sped,MOOE
1321,102232,Malacañang Elementary School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,San Carlos City,SAN CARLOS CITY,San Carlos City District II,3rd District,School with no Annexes,Malacañang ES,-,102232.0,"Brgy. Malacañang, San Carlos City, Pangasinan",1/1/1964,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102232.0,42.0,29.0,53.0,30.0,46.0,47.0,57.0,20.0,34.0,28.0,39.0,36.0,31.0,26.0,6.0,1.0,,,,,,,,,,,,,276000.0,102232.0,13.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,276000.0
1329,101546,Malasiqui I CS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan I, Lingayen",MALASIQUI,Malasiqui I,3rd District,School with no Annexes,Mala,-,101546.0,"Montemayor St. Malasiqui, Pangasinan",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,101546.0,102.0,124.0,184.0,156.0,175.0,153.0,191.0,203.0,166.0,156.0,169.0,148.0,153.0,143.0,19.0,8.0,,,,,,,,,,,,,926000.0,101546.0,48.0,0.0,1.0,0.0,0.0,4.0,51.0,0.0,926000.0
1337,101184,Maliga ES,Region I,Ilocos Region,PANGASINAN,PANGASINAN,Alaminos City,CITY OF ALAMINOS,District II,1st District,School with no Annexes,,-,101184.0,Macatiw,1/1/1970,Elementary,DepED Managed,Elementary,Monograde,P 160 M or more but less than P 240 M,Component City,Partially Urban,101184.0,13.0,15.0,14.0,13.0,22.0,12.0,13.0,16.0,17.0,11.0,9.0,16.0,13.0,16.0,10.0,7.0,,,,,,,,,,,,,135000.0,101184.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,135000.0
1357,101800,Manaoag Central School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan II, Binalonan",MANAOAG,Manaoag,4th District,School with no Annexes,MCS,Manaoag CS,101800.0,Brgy. Poblacion,1/1/1970,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,101800.0,178.0,135.0,180.0,168.0,188.0,171.0,175.0,185.0,179.0,169.0,161.0,193.0,175.0,179.0,4.0,0.0,,,,,,,,,,,,,994000.0,101800.0,31.0,0.0,0.0,0.0,0.0,11.0,42.0,2.0,994000.0
1365,101815,Mangaldan Central School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan II, Binalonan",MANGALDAN,Mangaldan I,4th District,School with no Annexes,MCS,,101815.0,"Serafica St., Poblacion",1/1/1920,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Urban,101815.0,202.0,197.0,267.0,222.0,270.0,246.0,263.0,228.0,250.0,229.0,259.0,233.0,258.0,217.0,10.0,6.0,,,,,,,,,,,,,1406000.0,101815.0,53.0,1.0,5.0,0.0,0.0,18.0,66.0,1.0,1406000.0
1366,101818,Mangaldan Integrated School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan II, Binalonan",MANGALDAN,Mangaldan II,4th District,School with no Annexes,MIS,Bantayan Central School,101818.0,Brgy. Bantayan,1/1/1928,Elementary,DepED Managed,"Integrated - Kinder, Elem & Sec",Monograde,P 55 M or more,,Urban,101818.0,62.0,61.0,73.0,63.0,48.0,44.0,73.0,47.0,61.0,67.0,61.0,42.0,56.0,49.0,30.0,10.0,,,,,,,,,,,,,416000.0,101818.0,2.0,0.0,16.0,0.0,0.0,4.0,28.0,0.0,416000.0
1368,101585,Mangatarem I CS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan I, Lingayen",MANGATAREM,Mangatarem I,2nd District,School with no Annexes,MICS,NONE,101585.0,"-CALVO ST. MANGATAREM, PANGASINAN",1/1/1921,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,101585.0,98.0,99.0,121.0,109.0,185.0,129.0,164.0,163.0,139.0,142.0,143.0,152.0,129.0,133.0,16.0,12.0,,,,,,,,,,,,,815000.0,101585.0,36.0,0.0,0.0,0.0,0.0,5.0,36.0,1.0,815000.0
1379,101622,Mapandan CS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan I, Lingayen",MAPANDAN,Mapandan,3rd District,School with no Annexes,,-,101622.0,-Pandan Avenue,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Urban,101622.0,87.0,56.0,74.0,79.0,103.0,102.0,95.0,83.0,70.0,85.0,84.0,88.0,100.0,88.0,10.0,13.0,,,,,,,,,,,,,590000.0,101622.0,30.0,0.0,0.0,0.0,0.0,4.0,34.0,1.0,590000.0
1414,102261,Mestizo Norte ES,Region I,Ilocos Region,PANGASINAN,PANGASINAN,San Carlos City,SAN CARLOS CITY,San Carlos City District IV,3rd District,School with no Annexes,Mestizo Norte ES,-,102261.0,"-Brgy. Mestizo Norte, San Carlos City",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102261.0,22.0,15.0,19.0,15.0,24.0,17.0,20.0,17.0,19.0,13.0,14.0,13.0,13.0,12.0,2.0,1.0,,,,,,,,,,,,,148000.0,102261.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,148000.0
1506,101858,Nantangalan ES SPED CENTER,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan II, Binalonan",POZZORUBIO,Pozorrubio I,5th District,School with no Annexes,,Nantangalan ES,101858.0,-Nantangalan,1/1/1948,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,101858.0,31.0,29.0,24.0,20.0,32.0,43.0,28.0,30.0,34.0,33.0,32.0,43.0,26.0,32.0,13.0,11.0,,,,,,,,,,,,,209000.0,101858.0,6.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,209000.0
1510,101715,Narciso R. Ramos ES,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan II, Binalonan",ASINGAN,Asingan I,6th District,School with no Annexes,NRRES,SOUTH CENTRAL SCHOOL,101715.0,"-Soloria St., Pob.West",1/1/1913,Elementary,DepED Managed,Elementary,Monograde,P 45 M or more but less than P 55 M,,Partially Urban,101715.0,59.0,54.0,70.0,79.0,71.0,56.0,77.0,76.0,86.0,90.0,75.0,89.0,96.0,90.0,17.0,15.0,,,,,,,,,,,,,567000.0,101715.0,33.0,0.0,0.0,0.0,0.0,5.0,28.0,1.0,567000.0
1514,100544,Narvacan South CS (SPED Center),Region I,Ilocos Region,ILOCOS SUR,ILOCOS SUR,Ilocos Sur,NARVACAN,Narvacan South-Nagbukel,2nd District,School with no Annexes,,Narvacan South CS,100544.0,Bauco St.,1/1/1950,Elementary,DepED Managed,Elementary,Monograde,P 45 M or more but less than P 55 M,,Partially Urban,100544.0,39.0,34.0,49.0,41.0,48.0,37.0,56.0,46.0,43.0,52.0,49.0,46.0,57.0,39.0,6.0,7.0,,,,,,,,,,,,,346000.0,100544.0,15.0,0.0,0.0,0.0,0.0,5.0,13.0,3.0,346000.0
1647,101320,Parayao Centro ES,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan I, Lingayen",BINMALEY,Binmaley I,2nd District,School with no Annexes,PCES,,101320.0,-,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,101320.0,21.0,18.0,29.0,23.0,19.0,14.0,28.0,28.0,16.0,19.0,18.0,25.0,24.0,13.0,3.0,2.0,,,,,,,,,,,,,193000.0,101320.0,10.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,193000.0
1691,102233,Payapa Elementary School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,San Carlos City,SAN CARLOS CITY,San Carlos City District II,3rd District,School with no Annexes,Payapa ES,-,102233.0,"Brgy. Payapa, San Carlos City, Pangasinan",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102233.0,24.0,21.0,29.0,21.0,20.0,22.0,24.0,17.0,21.0,20.0,20.0,24.0,23.0,19.0,4.0,3.0,,,,,,,,,,,,,177000.0,102233.0,6.0,0.0,2.0,0.0,0.0,0.0,8.0,1.0,177000.0
1822,101016,Rosario Integrated School,Region I,Ilocos Region,LA UNION,LA UNION,La Union,ROSARIO,Rosario,2nd District,School with no Annexes,RIS,Rosario CES,101016.0,MC ARTHUR HI-WAY,1/1/1909,Elementary,DepED Managed,"Integrated - Kinder, Elem & Sec",Monograde,P 55 M or more,,Partially Urban,101016.0,141.0,124.0,142.0,131.0,146.0,131.0,171.0,134.0,161.0,164.0,136.0,151.0,131.0,133.0,24.0,24.0,,,,,,,,,,,,,869000.0,101016.0,54.0,0.0,0.0,0.0,0.0,10.0,37.0,1.0,869000.0
1834,102143,Sabangan ES,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan II, Binalonan",SAN FABIAN,San Fabian I,4th District,School with no Annexes,,-,102143.0,-Brgy. Narvarte,1/1/2002,Elementary,DepED Managed,Elementary,Multigrade,P 55 M or more,,Partially Urban,102143.0,24.0,16.0,16.0,17.0,11.0,15.0,10.0,7.0,6.0,5.0,6.0,12.0,7.0,9.0,0.0,0.0,,,,,,,,,,,,,82000.0,102143.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,82000.0
1837,100697,Sabuanan Elementary School SPED Center,Region I,Ilocos Region,ILOCOS SUR,ILOCOS SUR,Ilocos Sur,SANTA LUCIA,Sta. Lucia,2nd District,School with no Annexes,,Sabuanan Elementary School,100697.0,"Sabuanan, Sta. Lucia, Ilocos Sur",1/1/2000,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,100697.0,31.0,21.0,21.0,38.0,20.0,29.0,32.0,28.0,23.0,27.0,30.0,31.0,31.0,24.0,15.0,5.0,,,,,,,,,,,,,217000.0,100697.0,10.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,217000.0
1924,101030,San Fernando North CS (North CES),Region I,Ilocos Region,LA UNION,LA UNION,San Fernando City,CITY OF SAN FERNANDO (Capital),San Fernando I,1st District,School with no Annexes,na,,101030.0,Tanqui,1/1/1917,Elementary,DepED Managed,Kinder & Elementary,Combined Monograde and Multigrade,P 240 M or more but less than P 320 M,Component City,Partially Urban,101030.0,85.0,84.0,83.0,85.0,79.0,59.0,73.0,69.0,76.0,91.0,83.0,85.0,83.0,73.0,81.0,46.0,,,,,,,,,,,,,581000.0,101030.0,22.0,0.0,1.0,0.0,0.0,5.0,29.0,10.0,581000.0
1968,100608,San Juan South CS,Region I,Ilocos Region,ILOCOS SUR,ILOCOS SUR,Ilocos Sur,SAN JUAN (LAPOG),San Juan,1st District,School with no Annexes,SJSCS,-,100608.0,Municipal Road,1/1/1927,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,100608.0,28.0,40.0,45.0,31.0,49.0,50.0,47.0,50.0,52.0,45.0,62.0,53.0,40.0,44.0,0.0,0.0,,,,,,,,,,,,,331000.0,100608.0,16.0,0.0,0.0,0.0,0.0,4.0,15.0,1.0,331000.0
2020,100616,San Sebastian ES,Region I,Ilocos Region,ILOCOS SUR,ILOCOS SUR,Ilocos Sur,SAN VICENTE,San Vicente,1st District,School with no Annexes,,-,100616.0,-n\a,1/1/1950,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 15 M or more but less than P 25 M,,Partially Urban,100616.0,45.0,20.0,38.0,34.0,31.0,34.0,34.0,28.0,34.0,19.0,29.0,31.0,33.0,33.0,0.0,0.0,,,,,,,,,,,,,279000.0,100616.0,15.0,0.0,0.0,0.0,0.0,1.0,19.0,1.0,279000.0
2034,100617,San Vicente IS,Region I,Ilocos Region,ILOCOS SUR,ILOCOS SUR,Ilocos Sur,SAN VICENTE,San Vicente,1st District,School with no Annexes,,-San Vicente CS,100617.0,"Poblacion, San Vicente, Ilocos Sur",1/1/2000,Elementary,DepED Managed,"Integrated - Kinder, Elem & Sec",Monograde,P 15 M or more but less than P 25 M,,Partially Urban,100617.0,20.0,35.0,37.0,43.0,32.0,51.0,45.0,32.0,45.0,38.0,57.0,44.0,32.0,35.0,4.0,2.0,,,,,,,,,,,,,327000.0,100617.0,18.0,0.0,0.0,0.0,0.0,5.0,19.0,1.0,327000.0
2121,100010,SPECIAL EDUCATION CENTER,Region I,Ilocos Region,ILOCOS NORTE,ILOCOS NORTE,Ilocos Norte,BACARRA,Bacarra I,1st District,School with no Annexes,,-,100010.0,RIZAL ST.,1/1/1910,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,100010.0,14.0,10.0,14.0,21.0,15.0,19.0,18.0,16.0,26.0,19.0,25.0,16.0,23.0,26.0,15.0,13.0,,,,,,,,,,,,,231000.0,100010.0,14.0,0.0,0.0,0.0,0.0,5.0,10.0,4.0,231000.0
2176,101671,Sual CS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan I, Lingayen",SUAL,Sual,1st District,School with no Annexes,,-,101671.0,"Tactaquin, Poblacion, Sual, Pangasinan",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,101671.0,102.0,80.0,131.0,99.0,117.0,122.0,148.0,126.0,123.0,115.0,85.0,113.0,125.0,112.0,11.0,9.0,,,,,,,,,,,,,691000.0,101671.0,23.0,0.0,6.0,0.0,0.0,3.0,23.0,1.0,691000.0
2223,102250,Talang Central School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,San Carlos City,SAN CARLOS CITY,San Carlos City District III,3rd District,School with no Annexes,Talang CS,-,102250.0,"Brgy. Talang, San Carlos City, Pangasinan",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102250.0,41.0,45.0,52.0,51.0,46.0,43.0,55.0,55.0,37.0,53.0,58.0,47.0,50.0,33.0,6.0,4.0,,,,,,,,,,,,,363000.0,102250.0,15.0,0.0,0.0,0.0,0.0,5.0,17.0,1.0,363000.0
2261,102235,Tarectec Elementary School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,San Carlos City,SAN CARLOS CITY,San Carlos City District II,3rd District,School with no Annexes,Tarectec ES,-,102235.0,"Brgy. Tarectec, San Carlos City, Pangasinan",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102235.0,27.0,23.0,17.0,16.0,18.0,17.0,18.0,12.0,10.0,18.0,8.0,13.0,18.0,7.0,2.0,1.0,,,,,,,,,,,,,146000.0,102235.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,146000.0
2270,102264,Tebag Elementary School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,San Carlos City,SAN CARLOS CITY,San Carlos City District IV,3rd District,School with no Annexes,Tebag ES,-,102264.0,"-Brgy. Tebag, San Carlos City",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102264.0,9.0,14.0,21.0,27.0,17.0,24.0,19.0,24.0,15.0,9.0,17.0,15.0,18.0,7.0,2.0,1.0,,,,,,,,,,,,,158000.0,102264.0,6.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,158000.0
2295,101886,Tomana Elementary School SPED Center,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan II, Binalonan",ROSALES,Rosales I,6th District,School with no Annexes,,-Tomana ES,101886.0,-Tomana West,1/1/1952,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,101886.0,33.0,31.0,38.0,30.0,47.0,24.0,31.0,24.0,28.0,42.0,29.0,34.0,35.0,29.0,31.0,10.0,,,,,,,,,,,,,289000.0,101886.0,13.0,0.0,0.0,0.0,0.0,1.0,12.0,6.0,289000.0
2345,101693,Urbiztondo IS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan I, Lingayen",URBIZTONDO,Urbiztondo,2nd District,School with no Annexes,,Urbiztondo CS-,101693.0,"Rizal Street, Poblacion",1/1/2000,Elementary,DepED Managed,Integrated - Elem & Sec,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,101693.0,72.0,70.0,112.0,84.0,122.0,110.0,109.0,93.0,123.0,89.0,103.0,109.0,109.0,90.0,13.0,10.0,,,,,,,,,,,,,622000.0,101693.0,16.0,0.0,0.0,0.0,0.0,3.0,38.0,1.0,622000.0
2346,102283,Urdaneta I Central School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,Urdaneta City,CITY OF URDANETA,Urdaneta City District I,5th District,School with no Annexes,-,-,102283.0,Alexander St.,1/1/1920,Elementary,DepED Managed,Elementary,Monograde,P 320 M or more but less than P 400 M,Component City,Urban,102283.0,256.0,238.0,234.0,237.0,254.0,268.0,287.0,290.0,314.0,285.0,270.0,307.0,265.0,299.0,42.0,37.0,,,,,,,,,,,,,1655000.0,102283.0,73.0,3.0,0.0,0.0,0.0,15.0,72.0,8.0,1655000.0
2363,100800,Vigan CS,Region I,Ilocos Region,ILOCOS SUR,ILOCOS SUR,Vigan City,CITY OF VIGAN (Capital),District I,1st District,School with no Annexes,,-,100800.0,Mena Crisologo St.,1/1/1916,Elementary,DepED Managed,Elementary,Monograde,P 160 M or more but less than P 240 M,Component City,Urban,100800.0,93.0,75.0,53.0,57.0,85.0,77.0,81.0,79.0,87.0,88.0,85.0,68.0,83.0,59.0,0.0,0.0,,,,,,,,,,,,,557000.0,100800.0,28.0,4.0,0.0,0.0,0.0,6.0,31.0,3.0,557000.0
2370,102126,Villasis Central School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan II, Binalonan",VILLASIS,Villasis I,5th District,School with no Annexes,VCS,none,102126.0,Los Recuerdos,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,102126.0,93.0,79.0,82.0,97.0,93.0,105.0,98.0,103.0,90.0,96.0,91.0,87.0,77.0,92.0,13.0,5.0,,,,,,,,,,,,,618000.0,102126.0,25.0,0.0,0.0,0.0,0.0,6.0,31.0,0.0,618000.0
2381,102152,West Central ES I,Region I,Ilocos Region,PANGASINAN,PANGASINAN,Dagupan City,DAGUPAN CITY,Dagupan City District I,4th District,School with no Annexes,WCES I,West CES I,102152.0,BURGOS STREET,1/1/1942,Elementary,DepED Managed,Elementary,Monograde,P 320 M or more but less than P 400 M,Component City,Urban,102152.0,107.0,120.0,182.0,171.0,187.0,173.0,196.0,165.0,194.0,186.0,187.0,204.0,186.0,193.0,46.0,30.0,,,,,,,,,,,,,1173000.0,102152.0,52.0,0.0,0.0,0.0,0.0,6.0,63.0,8.0,1173000.0
2383,101976,West Central School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan II, Binalonan",SAN NICOLAS,San Nicolas I,6th District,School with no Annexes,WCS,-,101976.0,Rizal St.,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,101976.0,21.0,21.0,22.0,25.0,32.0,15.0,31.0,32.0,43.0,20.0,30.0,32.0,31.0,23.0,26.0,18.0,,,,,,,,,,,,,279000.0,101976.0,14.0,0.0,0.0,0.0,0.0,4.0,17.0,1.0,279000.0
2430,104224,Aglipay West CS,Region II,Cagayan Valley,QUIRINO,QUIRINO,Quirino,AGLIPAY,Aglipay,Lone District,School with no Annexes,AWCS,San leonardo Elementary School,104224.0,Purok 2,1/1/1975,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,104224.0,30.0,32.0,44.0,35.0,41.0,40.0,37.0,52.0,47.0,39.0,35.0,28.0,28.0,28.0,3.0,2.0,,,,,,,,,,,,,294000.0,104224.0,13.0,0.0,0.0,0.0,0.0,3.0,15.0,1.0,294000.0
2454,103005,Alicia CS,Region II,Cagayan Valley,ISABELA,ISABELA,Isabela,ALICIA,Alicia South,3rd District,School with no Annexes,ACS,-,103005.0,"-Magsaysay, Alicia, Isabela",1/1/2000,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,103005.0,50.0,28.0,56.0,42.0,59.0,50.0,60.0,47.0,59.0,47.0,70.0,63.0,55.0,60.0,6.0,3.0,,,,,,,,,,,,,430000.0,103005.0,27.0,0.0,0.0,0.0,0.0,6.0,19.0,0.0,430000.0
2527,102442,Aparri East CS,Region II,Cagayan Valley,CAGAYAN,CAGAYAN,Cagayan,APARRI,Aparri East,1st District,School with no Annexes,AECS,Aparri CS.,102442.0,De Rivera,1/1/1946,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,102442.0,58.0,71.0,116.0,104.0,109.0,131.0,126.0,110.0,103.0,98.0,105.0,87.0,109.0,80.0,20.0,9.0,,,,,,,,,,,,,723000.0,102442.0,34.0,10.0,0.0,0.0,0.0,6.0,34.0,1.0,723000.0
2539,103906,Aritao Central School,Region II,Cagayan Valley,NUEVA VIZCAYA,NUEVA VIZCAYA,Nueva Vizcaya,ARITAO,Aritao West,Lone District,School with no Annexes,,-,103906.0,-,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 45 M or more but less than P 55 M,,Partially Urban,103906.0,63.0,68.0,64.0,58.0,72.0,81.0,68.0,65.0,86.0,63.0,70.0,93.0,89.0,62.0,20.0,11.0,,,,,,,,,,,,,466000.0,103906.0,21.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,466000.0
2577,103930,Bagabag CS,Region II,Cagayan Valley,NUEVA VIZCAYA,NUEVA VIZCAYA,Nueva Vizcaya,BAGABAG,Bagabag I,Lone District,School with no Annexes,bcs,,103930.0,-Banos Street,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 45 M or more but less than P 55 M,,Partially Urban,103930.0,36.0,39.0,91.0,61.0,61.0,55.0,58.0,55.0,56.0,68.0,69.0,74.0,46.0,58.0,12.0,5.0,,,,,,,,,,,,,425000.0,103930.0,25.0,0.0,0.0,0.0,0.0,4.0,23.0,0.0,425000.0
2581,104395,Bagay Elementary School,Region II,Cagayan Valley,CAGAYAN,CAGAYAN,Tuguegarao City,TUGUEGARAO CITY(Capital),Tuguegarao North Educational Zone,3rd District,School with no Annexes,BES,Bagay ES,104395.0,Provincial Road,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,104395.0,49.0,44.0,47.0,56.0,41.0,45.0,43.0,38.0,39.0,45.0,31.0,38.0,43.0,31.0,1.0,6.0,,,,,,,,,,,,,314000.0,104395.0,17.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,314000.0
2633,103952,Bambang CS,Region II,Cagayan Valley,NUEVA VIZCAYA,NUEVA VIZCAYA,Nueva Vizcaya,BAMBANG,Bambang I,Lone District,School with no Annexes,BCS,-,103952.0,-Boyie St.,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,103952.0,32.0,33.0,59.0,58.0,59.0,63.0,61.0,72.0,69.0,63.0,59.0,47.0,57.0,47.0,36.0,28.0,,,,,,,,,,,,,388000.0,103952.0,18.0,0.0,0.0,0.0,0.0,5.0,21.0,1.0,388000.0
2688,102878,Basi ES,Region II,Cagayan Valley,CAGAYAN,CAGAYAN,Cagayan,SOLANA,Solana South,3rd District,School with no Annexes,BES,none,102878.0,none,1/1/1952,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,102878.0,32.0,32.0,38.0,40.0,35.0,35.0,36.0,37.0,29.0,32.0,49.0,37.0,38.0,34.0,0.0,0.0,,,,,,,,,,,,,253000.0,102878.0,11.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,253000.0
2707,103984,Bayombong CS,Region II,Cagayan Valley,NUEVA VIZCAYA,NUEVA VIZCAYA,Nueva Vizcaya,BAYOMBONG (Capital),Bayombong I,Lone District,School with no Annexes,,-,103984.0,-,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,103984.0,123.0,115.0,146.0,152.0,153.0,147.0,167.0,171.0,154.0,176.0,132.0,139.0,140.0,170.0,54.0,30.0,,,,,,,,,,,,,896000.0,103984.0,43.0,0.0,0.0,0.0,0.0,4.0,46.0,5.0,896000.0
2712,103102,Benito Soliven CS,Region II,Cagayan Valley,ISABELA,ISABELA,Isabela,BENITO SOLIVEN,Benito Soliven,2nd District,School with no Annexes,BSCS,-,103102.0,Purok 2,1/1/1923,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,103102.0,37.0,37.0,51.0,50.0,58.0,54.0,61.0,62.0,73.0,50.0,79.0,65.0,68.0,48.0,6.0,3.0,,,,,,,,,,,,,419000.0,103102.0,17.0,0.0,0.0,0.0,0.0,3.0,25.0,0.0,419000.0
2732,104116,Binalian IS,Region II,Cagayan Valley,NUEVA VIZCAYA,NUEVA VIZCAYA,Nueva Vizcaya,KAYAPA,Eastern Kayapa,Lone District,School with no Annexes,,-,104116.0,-,1/1/1956,Elementary,DepED Managed,Integrated - Elem & Sec,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,104116.0,3.0,12.0,13.0,10.0,9.0,6.0,10.0,12.0,7.0,2.0,8.0,9.0,4.0,10.0,0.0,0.0,,,,,,,,,,,,,116000.0,104116.0,3.0,0.0,3.0,0.0,0.0,1.0,5.0,1.0,116000.0
2827,103419,Cabannungan 2nd ES,Region II,Cagayan Valley,ISABELA,ISABELA,City of Ilagan,ILAGAN (Capital),Northwest,1st District,School with no Annexes,,Cabannungan ES,103419.0,-,1/1/1927,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,103419.0,22.0,20.0,22.0,12.0,23.0,20.0,22.0,16.0,13.0,18.0,14.0,25.0,18.0,10.0,2.0,4.0,,,,,,,,,,,,,194000.0,103419.0,10.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,194000.0
2832,104255,Cabarroguis CS,Region II,Cagayan Valley,QUIRINO,QUIRINO,Quirino,CABARROGUIS (Capital),Cabarroguis,Lone District,School with no Annexes,CCS,-,104255.0,Purok 5,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,104255.0,25.0,31.0,73.0,60.0,65.0,52.0,67.0,56.0,68.0,63.0,53.0,63.0,79.0,59.0,9.0,9.0,,,,,,,,,,,,,474000.0,104255.0,22.0,0.0,0.0,0.0,0.0,6.0,27.0,4.0,474000.0
